record_id	kind	current_owner	current_path	symbol_or_identity	current_contract_or_dependencies	destination	owning_phase	owner	test_ids	status	provenance	notes
P2-DEC-010	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/TokenAccounting	token calculation snapshots and estimator leaf	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/TokenAccounting	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-010 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-011	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/CodeMap/Models/FileAPI.swift	FileAPI factual codemap values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/CodeMap/Models/FileAPI.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-011 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-012	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	codemap snapshot/bundle/render/repair/update values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-012 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-013	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/Regex	regex toolkit adapter and Swift PCRE2 dependency values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/Regex	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-013 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-014	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/Utilities	relative standardized and checkout path identity utilities	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/Utilities	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-014 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-015	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/Search	RepoSearchQuery and immutable PathSearchIndex	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/Search	2	neutral-core	core/RepoPromptCoreTests.RepoSearchQueryRecoveryTests/testFactoryNormalizesBoundsSlashAndWildcardSupport; core/RepoPromptCoreTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata	implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-015 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DEC-016	phase2_implementation	RepoPromptCore	Sources/RepoPromptCore/WorkspaceContext/PathResolution/WorkspacePathPolicy.swift	workspace root/alias/issue/client path values	one Core concrete owner; package-scoped cross-target API	Sources/RepoPromptCore/WorkspaceContext/PathResolution/WorkspacePathPolicy.swift	2	neutral-core		implemented	Phase 2 from checkpoint b3eb2222	Supersedes DEC-016 assigned status; later-phase engines/platform adapters remain in RepoPrompt.
P2-DISC-001	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Features/Prompt/Models/FilesTab.swift; CopyCustomizations and option declaration paths	FilesTab; CopyCustomizations; FileTreeOption; CodeMapUsage; GitInclusion	persisted WorkspaceModel dependency graph	Sources/RepoPromptCore/Workspaces	2	workspace-persistence	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	implemented	Phase 2 dependency discovery from DEC-001	Required to move WorkspaceModel without changing persisted raw values or Codable keys.
P2-DISC-002	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathLookup/PathMatchingInterfaces.swift	FileRecord; FolderRecord; FileHierarchyReadable; FrozenFileRecord; FrozenFolderRecord	neutral path-match protocol/value dependencies of DEC-006	Sources/RepoPromptCore/WorkspaceContext/PathLookup/PathMatchingInterfaces.swift	2	path-lookup		implemented	Phase 2 dependency discovery from DEC-006	App-only view-model convenience initializers remain as narrow extensions.
P2-DISC-003	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Features/CodeMap/FileTreeSelectionSnapshot.swift	FileTreeSelectionSnapshot value graph	neutral dependency of DEC-010 token snapshot	Sources/RepoPromptCore/CodeMap/FileTreeSelectionSnapshot.swift	2	prompt-accounting		implemented	Phase 2 dependency discovery from DEC-010	No renderer or engine moved.
P2-DISC-004	boundary_declaration	RepoPrompt	Sources/RepoPrompt/ThirdParty/SwiftPCRE2	Swift PCRE2 wrapper value/runtime dependencies	neutral dependency of DEC-013 and BRG-004	Sources/RepoPromptCore/Regex	2	neutral-core		implemented	Phase 2 dependency discovery from DEC-013	Existing CSwiftPCRE2 implementation remains single-owned; no C bridge or symbol move.
P2-DISC-005	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/Models/WorkspaceFileContextModels.swift	WorkspaceRootLoadFailure	readiness-state value dependency	Sources/RepoPromptCore/WorkspaceContext/Models/WorkspaceFileContextModels.swift	2	workspace-context		implemented	Phase 2 dependency discovery from DEC-003	Foundation-only value; no root-loading engine moved.
P2-DISC-006	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/TokenAccounting/TokenCalculationService.swift	TokenEstimator	deterministic UTF-8 token estimate used by moved FileAPI/codemap values	Sources/RepoPromptCore/WorkspaceContext/TokenAccounting/TokenEstimator.swift	2	prompt-accounting		implemented	Phase 2 dependency discovery from DEC-010/DEC-011	App service retains only a forwarding static method; actor/accounting service remains Phase 6.
P2-COMPAT-001	compatibility_alias	RepoPrompt	Sources/RepoPrompt/App/CoreCompatibilityAliases.swift	Phase 2 moved declaration aliases	temporary app names only; no concrete implementation	RepoPromptCore concrete types	2	app-compatibility		temporary	Phase 2 implementation	All aliases are enumerated in one classified file and deferred for Phase 9 removal.
P2-COMPAT-002	forwarding_adapter	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/TokenAccounting/TokenCalculationService.swift	TokenCalculationService.estimateTokens	forwards exact deterministic estimate to Core TokenEstimator	RepoPromptCore.TokenEstimator	2	app-compatibility		temporary	Phase 2 implementation	No duplicate estimator implementation.
P2-COMPAT-003	forwarding_adapter	RepoPrompt	Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathLookup/PathMatchingInterfaces.swift	FrozenFileRecord/FrozenFolderRecord view-model initializers	app presentation capture forwards primitives into Core values	RepoPromptCore frozen records	2	app-compatibility		temporary	Phase 2 implementation	Keeps FileViewModel/FolderViewModel out of Core.
P2-TST-001	test_move	RepoPromptTests	Tests/RepoPromptTests	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	exact authoritative XCTest ID	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract	implemented	Phase 2 authoritative lists	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract -> core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspacePersistenceLegacyDecodeCurrentEncodeAndCurrentReaderRoundTripContract. Three scenarios preserved.
P2-TST-002	test_move	RepoPromptTests	Tests/RepoPromptTests	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspaceDecodeCreatesDefaultComposeTabAndIgnoresRemovedLegacyFields	exact authoritative XCTest ID	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspaceDecodeCreatesDefaultComposeTabAndIgnoresRemovedLegacyFields	implemented	Phase 2 authoritative lists	root/RepoPromptTests.WorkspaceRootSyncTests/testWorkspaceDecodeCreatesDefaultComposeTabAndIgnoresRemovedLegacyFields -> core/RepoPromptCoreTests.WorkspaceRootSyncTests/testWorkspaceDecodeCreatesDefaultComposeTabAndIgnoresRemovedLegacyFields. One scenario preserved.
P2-TST-003	test_move	RepoPromptTests	Tests/RepoPromptTests	root/RepoPromptTests.RepoSearchQueryRecoveryTests/testFactoryNormalizesBoundsSlashAndWildcardSupport	exact authoritative XCTest ID	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.RepoSearchQueryRecoveryTests/testFactoryNormalizesBoundsSlashAndWildcardSupport	implemented	Phase 2 authoritative lists	root/RepoPromptTests.RepoSearchQueryRecoveryTests/testFactoryNormalizesBoundsSlashAndWildcardSupport -> core/RepoPromptCoreTests.RepoSearchQueryRecoveryTests/testFactoryNormalizesBoundsSlashAndWildcardSupport. One curated scenario preserved.
P2-TST-004	test_move	RepoPromptTests	Tests/RepoPromptTests	root/RepoPromptTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata	exact authoritative XCTest ID	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata	implemented	Phase 2 authoritative lists	root/RepoPromptTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata -> core/RepoPromptCoreTests.PathSearchIndexRecoveryTests/testSearchMatchesFilenameSubpathTokensAndPublishesDeterministicRankMetadata. One curated scenario preserved.
P2-TST-005	live_test	none	Tests/RepoPromptCoreTests/WorkspaceRootSyncTests.swift	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testNewWorkspaceBytesDecodeThroughIndependentLegacyRollbackReader	one independent rollback-reader compatibility scenario	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.WorkspaceRootSyncTests/testNewWorkspaceBytesDecodeThroughIndependentLegacyRollbackReader	implemented	Phase 2 persistence close gate	New Core bytes decode through an independent test-only legacy rollback DTO; complements old bytes -> new Core type coverage.
P2-TST-006	live_test	none	Tests/RepoPromptCoreTests/WorkspacePersistedOptionCompatibilityTests.swift	core/RepoPromptCoreTests.WorkspacePersistedOptionCompatibilityTests/testPersistedWorkspaceOptionRawValuesOrderingAndCodableBytesRemainStable	five persisted option compatibility scenarios	RepoPromptCoreTests	2	test-owner	core/RepoPromptCoreTests.WorkspacePersistedOptionCompatibilityTests/testPersistedWorkspaceOptionRawValuesOrderingAndCodableBytesRemainStable	implemented	Phase 2 independent review	Directly freezes FileTreeOption, CodeMapUsage, GitInclusion, FilesTab, and CopyCustomizations raw values/order/bytes after their discovered DEC-001 dependency move.
P2-APP-001	retained_app_extension	RepoPrompt	Sources/RepoPrompt/Features/CodeMap/CodeMapExtractor.swift; Sources/RepoPrompt/Features/Prompt/Models/Copy/CopyPreset.swift; Sources/RepoPrompt/Features/Prompt/Models/FilesTab.swift; Sources/RepoPrompt/Infrastructure/WorkspaceContext/PathResolution/WorkspacePathPolicy.swift	codemap rendering and presentation defaults/labels	app-only rendering and presentation policy over Core values	RepoPrompt	2	app-policy		retained_app	Phase 2 independent review	Classifies the retained renderedCodemap, defaultTab, renderedLabel, and PathResolutionIssueRenderer extensions; these are not duplicate concrete value owners or Core forwarders.
P3-PLAT-001	boundary_declaration	RepoPrompt	Sources/RepoPrompt/Infrastructure/FileSystem; Sources/RepoPrompt/Infrastructure/Process; Sources/RepoPrompt/Infrastructure/Security	watcher/directory/content/mutation/process/security/signing/diagnostics/path contracts	Foundation/Dispatch-only values and protocols; no app orchestration or platform imports	Sources/RepoPromptCore/Platform	3	neutral-core		implemented	Phase 3 from checkpoint f131b789	Only platform callbacks and leaf contracts moved; Combine publication, WorkspaceFileContextStore, ingress/coalescing, root lifetime, and app policy remain in RepoPrompt.
P3-POSIX-001	implementation_move	RepoPromptShared	Sources/RepoPromptShared/MCP/POSIXDescriptorSupport.swift	POSIXDescriptorSupport and POSIXDescriptorError	descriptor flags/socket shutdown implementation	Sources/RepoPromptPOSIXSupport/POSIXDescriptorSupport.swift	3	posix-support	posix/RepoPromptPOSIXSupportTests.POSIXDescriptorSupportTests/testSetCloseOnExecPreservesExistingDescriptorFlags; posix/RepoPromptPOSIXSupportTests.POSIXDescriptorSupportTests/testInvalidDescriptorProducesTypedError; posix/RepoPromptPOSIXSupportTests.POSIXDescriptorSupportTests/testNegativeSocketShutdownIsANoOp	implemented	Phase 3 from checkpoint f131b789	Single canonical package-scoped owner shared by app and MCP.
P3-POSIX-002	implementation_move	RepoPrompt	Sources/RepoPrompt/Infrastructure/Process/FDWriteSupport.swift	FDWriteSupport and FDWriteError	low-level descriptor write helper	Sources/RepoPromptPOSIXSupport/FDWriteSupport.swift	3	posix-support		implemented	Phase 3 from checkpoint f131b789	App and CLI import RepoPromptPOSIXSupport explicitly.
P3-BRG-001	bridge_migration	RepoPrompt	Sources/RepoPrompt/Support/RepoPrompt-Bridging-Header.h; Package.swift	tree_sitter_* declarations and target-wide bridging flags	exactly fourteen upstream declarations; no implementation	Sources/RepoPromptSyntaxCBridge/include/RepoPromptSyntaxCBridge.h	3	syntax-bridge		implemented	Phase 3 from checkpoint f131b789	Old header and -import-objc-header/-disable-bridging-pch flags removed; syntax target is canonical declaration/link owner.
P3-SEC-001	implementation_move	RepoPrompt	Sources/RepoPrompt/Infrastructure/Security/KeychainService.swift	KeychainService, SecItemClient, SystemSecItemClient	Security-backed adapter over neutral secure-storage contract	Sources/RepoPromptCoreMacOS/KeychainService.swift	3	macos-security	core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testNoninteractiveReadAddsUISkip; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testInteractiveReadDoesNotAddUISkip; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testReadMapsSecurityStatusesToSanitizedErrors; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testCanonicalMissingThrowsItemNotFoundWithoutFallback; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testCanonicalInteractionDenialFailsClosedWithoutFallback; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testDeleteDeletesOnlyCanonicalService; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testSaveUpdatesCanonicalNoninteractiveItemWithoutAddingWhenPresent; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testSaveAddsCanonicalNoninteractiveItemAfterMissingUpdate; core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests/testPersistentServiceNamesAreIsolatedAndLegacyIsRepairOnly	implemented	Phase 3 from checkpoint f131b789	All nine tests moved intact from root to direct adapter target.
P3-SEC-002	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/Security/RuntimeCodeSigningDetector.swift	Runtime code-signing inspection	platform detector accepts neutral requirements; app owns policy requirements	Sources/RepoPromptCoreMacOS/RuntimeCodeSigningDetector.swift	3	macos-security		implemented	Phase 3 from checkpoint f131b789	Thin app wrapper preserves product policy and existing call sites.
P3-FS-001	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/FileSystem/FileSystemService+FSEvents.swift	FSEvents stream lifecycle and callback translation	deep-copied neutral ordered event payloads; exact-once stop/dispose; late callback rejection	Sources/RepoPromptCoreMacOS/MacOSFSEventsWatcher.swift	3	macos-filesystem	core-macos/RepoPromptCoreMacOSTests.MacOSFSEventsWatcherTests/testOrderedSemanticEventsAreDeepCopiedBeforeDelivery; core-macos/RepoPromptCoreMacOSTests.MacOSFSEventsWatcherTests/testLateCallbackAfterStopIsIgnoredAndStopDisposesExactlyOnce; core-macos/RepoPromptCoreMacOSTests.MacOSFSEventsWatcherTests/testStartFailureReleasesCreatedStreamExactlyOnce	implemented	Phase 3 from checkpoint f131b789	Mailbox, watermarks, coalescing, recovery, root lifetime, and Combine publication remain app-owned.
P3-FS-002	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/FileSystem/FileSystemService+DirectoryListing.swift	opendir/readdir/stat/realpath directory access	neutral directory entry/identity/scan contract	Sources/RepoPromptCoreMacOS/MacOSWorkspaceDirectoryAccess.swift	3	macos-filesystem		implemented	Phase 3 from checkpoint f131b789	Crawl and ignore policy remain app-owned.
P3-FS-003	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/FileSystem/FileContentSnapshot.swift; FileSystemService+ContentLoading.swift	file snapshot and text decoding platform I/O	neutral snapshot/decoder/stream contracts	Sources/RepoPromptCoreMacOS/MacOSFileContentSnapshotReader.swift; Sources/RepoPromptCoreMacOS/MacOSFileContentDecoder.swift	3	macos-filesystem		implemented	Phase 3 from checkpoint f131b789	Scheduling, caches, telemetry, chunk orchestration, and app publication remain in RepoPrompt.
P3-FS-004	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/FileSystem/FileSystemService+FileOperations.swift	low-level create/write/move/delete/trash/symlink operations	neutral mutation backend	Sources/RepoPromptCoreMacOS/MacOSWorkspaceFileMutationBackend.swift	3	macos-filesystem		implemented	Phase 3 from checkpoint f131b789	Validation, uncancellable waiting, reconciliation, and event publication remain app-owned.
P3-PROC-001	adapter_split	RepoPrompt	Sources/RepoPrompt/Infrastructure/Process/ProcessLauncher.swift	posix_spawn process launch and cancellation	neutral launch contract with concrete POSIX adapter	Sources/RepoPromptCoreMacOS/POSIXProcessLauncher.swift	3	macos-process		implemented	Phase 3 from checkpoint f131b789	Provider/product orchestration remains in RepoPrompt.
P3-COMPAT-001	compatibility_alias	RepoPrompt	Sources/RepoPrompt/App/CoreCompatibilityAliases.swift	Phase 3 neutral and adapter aliases	temporary app names only; no concrete implementation	RepoPromptCore and RepoPromptCoreMacOS concrete types	3	app-compatibility		temporary	Phase 3 from checkpoint f131b789	Deferred for compatibility cleanup; no duplicate declaration owner.
P3-TST-001	test_move	RepoPromptTests	Tests/RepoPromptTests/Security/KeychainServiceTests.swift	nine KeychainServiceTests authoritative IDs	direct adapter tests	Tests/RepoPromptCoreMacOSTests/KeychainServiceTests.swift	3	test-owner	core-macos/RepoPromptCoreMacOSTests.KeychainServiceTests	implemented	Phase 3 authoritative lists	Nine methods and scenarios moved without semantic changes.
P3-TST-002	live_test	none	Tests/RepoPromptCoreMacOSTests/MacOSFSEventsWatcherTests.swift	three direct watcher lifetime/callback contracts	deep-copy order, late-callback rejection/exact stop, start-failure disposal	RepoPromptCoreMacOSTests	3	test-owner	core-macos/RepoPromptCoreMacOSTests.MacOSFSEventsWatcherTests	implemented	Phase 3 adapter gate	New direct platform adapter coverage; does not test app ingress orchestration.
P3-TST-003	live_test	none	Tests/RepoPromptPOSIXSupportTests/POSIXDescriptorSupportTests.swift	three direct descriptor contracts	flag preservation, typed invalid-fd error, negative shutdown no-op	RepoPromptPOSIXSupportTests	3	test-owner	posix/RepoPromptPOSIXSupportTests.POSIXDescriptorSupportTests	implemented	Phase 3 adapter gate	Activates authoritative POSIX test and list lanes.
P3-REV-001	live_test	none	Tests/RepoPromptCoreMacOSTests/MacOSFSEventsWatcherTests.swift	fourth direct watcher delivery-barrier contract	external stop waits for an already accepted neutral delivery	RepoPromptCoreMacOSTests	3	test-owner	core-macos/RepoPromptCoreMacOSTests.MacOSFSEventsWatcherTests/testExternalStopWaitsForAnAcceptedDeliveryToFinish	implemented	Phase 3 single independent review	Supersedes P3-TST-002 method count: direct watcher coverage is four methods; callback stop/disposal remains adapter-only and app ingress orchestration stays deferred.
